종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
461340,HANARO 글로벌생성형AI액티브,44920,445,1.0,45371.0,17.9213,4509,204,494,-0.99,NH-Amundi자산운용 (HANARO)
371470,TIGER 차이나바이오테크SOLACTIVE,8770,230,2.69,8792.0,-3.5029,61891,539,491,-0.25,미래에셋자산운용 (TIGER)
442260,마이티 다이나믹퀀트액티브,38210,310,0.82,38368.0,12.8372,2691,104,489,-0.41,기타 (MIGHTY)
287180,PLUS 미국나스닥테크,57490,160,0.28,58124.0,22.256,2823,164,489,-1.09,한화자산운용 (PLUS)
0192M0,RISE 삼성전자단일종목레버리지,12740,240,1.92,12857.0,,313487,4259,487,-0.91,KB자산운용 (RISE)
473490,KIWOOM 글로벌AI반도체,33390,1030,3.18,33666.0,24.3133,32019,1079,484,-0.82,기타
472830,RISE 미국30년국채커버드콜(합성),8720,10,0.11,8721.0,-2.2251,35158,306,484,-0.01,KB자산운용 (RISE)
140950,파워 코스피100,86390,1150,1.35,86397.0,13.8607,1827,164,484,-0.01,기타
0086B0,TIGER 리츠부동산인프라TOP10액티브,9380,30,0.32,9372.0,-17.814,9113,85,483,0.09,미래에셋자산운용 (TIGER)
442560,RISE TDF2040액티브 적격,16950,105,0.62,16832.0,4.0457,10159,172,483,0.7,KB자산운용 (RISE)
0020H0,KoAct 글로벌양자컴퓨팅액티브,23300,455,1.99,23334.0,1.5559,30976,728,478,-0.15,삼성액티브자산운용 (KoAct)
261070,TIGER 코스닥150바이오테크,10605,-245,-2.26,10626.0,-40.9409,194050,2107,477,-0.2,미래에셋자산운용 (TIGER)
140700,KODEX 보험,19015,250,1.33,19063.0,17.8841,32811,632,475,-0.25,삼성자산운용 (KODEX)
336160,RISE 금융채액티브,100030,-60,-0.06,100055.0,-0.5094,57,5,474,-0.02,KB자산운용 (RISE)
276990,KODEX 글로벌로봇(합성),26750,460,1.75,26963.0,-2.1768,3986,107,473,-0.79,삼성자산운용 (KODEX)
278240,RISE 코스닥150선물레버리지,6840,35,0.51,6853.0,-63.8609,211048,1525,471,-0.19,KB자산운용 (RISE)
494840,TIGER 미국방산TOP10,13225,30,0.23,13201.0,-8.0592,12499,164,469,0.18,미래에셋자산운용 (TIGER)
0178H0,IBK 미국AI TOP10국채혼합50,10060,110,1.11,9961.0,,6013,60,468,0.99,기타
0041D0,KODEX 미국AI소프트웨어TOP10,12345,95,0.78,12343.0,-2.6995,47155,580,463,0.02,삼성자산운용 (KODEX)
0000Z0,RISE 바이오TOP10액티브,8265,-75,-0.9,8289.0,-44.5295,126950,1061,463,-0.29,KB자산운용 (RISE)
447430,ACE 주주환원가치주액티브,15860,100,0.63,15858.0,-12.3415,7132,113,460,0.01,한국투자신탁운용 (ACE)
453650,KODEX 미국S&P500금융,20355,100,0.49,20392.0,7.233,16074,326,458,-0.18,삼성자산운용 (KODEX)
253250,KIWOOM 200선물레버리지,110065,3155,2.95,109929.0,9.1196,19181,2210,451,0.12,기타
375770,KODEX 탄소효율그린뉴딜,24845,600,2.47,24554.0,7.0873,274,6,447,1.19,삼성자산운용 (KODEX)
452250,ACE 미국30년국채선물레버리지(합성 H),4885,-40,-0.81,4895.0,-7.0755,842,4,447,-0.2,한국투자신탁운용 (ACE)
440650,ACE 미국달러단기채권액티브,12385,75,0.61,12379.0,0.8603,40759,504,446,0.05,한국투자신탁운용 (ACE)
475270,ACE 5월만기자동연장회사채AA-이상액티브,10680,-10,-0.09,10687.0,0.6117,106,1,445,-0.07,한국투자신탁운용 (ACE)
401170,RISE 메타버스,11170,185,1.68,11125.0,20.5017,8829,99,445,0.4,KB자산운용 (RISE)
418670,TIGER 글로벌AI사이버보안,17630,-595,-3.26,17610.0,52.5104,120989,2122,444,0.11,미래에셋자산운용 (TIGER)
473590,ACE 미국주식베스트셀러,19355,370,1.95,19613.0,-10.3848,102380,1995,435,-1.32,한국투자신탁운용 (ACE)
196030,ACE 일본TOPIX레버리지(H),87050,355,0.41,87522.0,12.7006,275,24,435,-0.54,한국투자신탁운용 (ACE)
238720,ACE 일본Nikkei225(H),48145,220,0.46,48146.0,12.0921,7148,347,433,-0.0,한국투자신탁운용 (ACE)
0007G0,PLUS 글로벌원자력밸류체인,14160,495,3.62,14162.0,-22.2035,3990,56,432,-0.01,한화자산운용 (PLUS)
429760,PLUS 미국S&P500,20520,150,0.74,20559.0,5.5689,3705,76,431,-0.19,한화자산운용 (PLUS)
442090,에셋플러스 코리아대장장이액티브,28670,270,0.95,28602.0,-5.9603,2659,78,430,0.24,기타
475070,KoAct 글로벌친환경전력인프라액티브,33000,710,2.2,33125.0,-9.6405,3758,123,429,-0.38,삼성액티브자산운용 (KoAct)
464470,PLUS 미국채30년액티브,52055,20,0.04,51996.0,-2.5192,4537,235,429,0.11,한화자산운용 (PLUS)
